Test size, Queue Time (ms), Stack Time (ms)
100,31,16
1100,131,149
2100,243,271
3100,340,377
4100,455,491
5100,671,731
6100,989,860
7100,788,870
8100,1296,1089
9100,993,1092
10100,1778,1304
11100,1401,1358
12100,1739,1977
13100,1518,1615
14100,2579,2789
15100,2026,2212
16100,2214,2049
17100,2342,2947
18100,2867,2363
19100,2421,2829
20100,3256,3342
21100,2937,2899
22100,3361,3820
23100,3719,4091
24100,4062,4075
25100,3274,4657
26100,4634,4886
27100,4563,4413
28100,4286,4013
29100,4011,3765
30100,4055,3778
31100,4883,5352
32100,6353,5163
33100,5168,5581
34100,5932,5577
35100,5375,6717
36100,5921,6290
37100,5200,5224
38100,5431,6695
39100,5866,6067
40100,6265,6812
41100,6442,7407
42100,6461,7616
43100,6715,7910
44100,7518,7712
45100,7345,7766
46100,8621,7796
47100,8152,8035
48100,8588,8155
49100,7956,8298
50100,7421,8591
51100,7928,7849
52100,7721,9549
53100,7028,10274
54100,8782,9230
55100,9566,10150
56100,8832,10804
57100,9498,9630
58100,8922,9942
59100,10228,10060
60100,9823,11352
61100,10558,10698
62100,9529,11709
63100,10204,12054
64100,10161,11387
65100,10907,11130
66100,10386,12406
67100,10566,11619
68100,10155,11676
69100,10799,11652
70100,11064,12269
71100,11810,12205
72100,12680,12328
73100,10728,12322
74100,12439,12796
75100,13258,12782
76100,11116,14545
77100,12989,14176
78100,13586,13825
79100,12943,13630
80100,13599,13580
81100,13317,13940
82100,11742,14501
83100,13538,14986
84100,14305,15709
85100,14765,14537
86100,12366,15186
87100,13015,15175
88100,14873,15484
89100,13291,16453
90100,15674,15516
91100,14958,17346
92100,15629,16104
93100,15153,16378
94100,15431,16497
95100,15496,17256
96100,15783,16692
97100,15602,16502
98100,16318,17558
99100,14654,17617
